komoditas,satuan,rata_rata_konsumsi,rata_rata_pengeluaran_rp
Beras,Kg,5.46,77807
Tepung Terigu,Kg,0.20,2484
Ketela pohon/singkong,Kg,0.23,1717
Ikan dan udang segar,Kg,1.67,72133
Ikan dan udang diawetkan,Ons,1.26,11155
Daging sapi,Kg,0.15,20368
Daging ayam ras/kampung,Kg,0.94,37385
Telur ayam ras/kampung,Butir,12.16,23599
Susu kental manis,397gr,0.21,2661
Bayam,Kg,0.28,3709
Pisang,Kg,0.47,8050
Bawang merah,Ons,2.03,9336
Bawang putih,Ons,1.54,6717
Cabai merah,Kg,0.18,12473
Cabai rawit,Kg,0.12,8223
Tahu,Kg,0.63,8210
Tempe,Kg,0.63,8023
Minyak kelapa/goreng,Liter,1.03,18453
Gula pasir,Ons,2.82,5459
