location_name,mean,std,min,max
Bandung,12529.941509508404,1415.4163271102607,10750.0,15078.57142857143
Bekasi,12327.949015495671,1346.9425630401404,10750.0,14600.0
Bogor,12397.786999357462,1587.3198005506463,10445.454545454546,14550.0
Cirebon,12102.768126360606,1691.249685841141,9900.0,15000.0
DKI Jakarta,13361.199988693283,1041.1204709735737,11950.0,14980.952380952382
Depok,11409.943825506933,1758.311100919568,9307.142857142857,14350.0
Jakarta Pusat,13361.199988693283,1041.1204709735737,11950.0,14980.952380952382
Jawa Barat,11975.960197020424,1631.0926929284701,10047.5,14890.47619047619
Kab. Cirebon,11823.220720466834,1670.2357615349472,9550.0,14904.761904761905
Kab. Tasikmalaya,11896.529504386564,1843.4023268678511,9800.0,15502.380952380952
Sukabumi,11457.935528988754,1565.628080164626,9845.454545454546,14833.333333333334
Tasikmalaya,11827.944862783317,1916.041461150601,9650.0,15483.333333333334
