date,food_inflation_yoy_pct
2020-10-01,2.25
2020-11-01,2.87
2020-12-01,3.63
2021-01-01,2.81
2021-02-01,1.92
2021-03-01,2.22
2021-04-01,2.33
2021-05-01,3.05
2021-06-01,1.85
2021-07-01,2.74
2021-08-01,3.31
2021-09-01,3.20
2021-10-01,3.01
2021-11-01,2.98
2021-12-01,3.09
2022-01-01,3.45
2022-02-01,2.51
2022-03-01,3.59
2022-04-01,5.20
2022-05-01,5.62
2022-06-01,6.23
2022-07-01,9.35
2022-08-01,7.73
2022-09-01,7.91
2022-10-01,6.76
2022-11-01,5.87
2022-12-01,5.83
2023-01-01,5.82
2023-02-01,7.23
2023-03-01,6.05
2023-04-01,4.58
2023-05-01,4.27
2023-06-01,2.85
2023-07-01,1.90
2023-08-01,3.51
2023-09-01,4.17
2023-10-01,5.41
2023-11-01,6.71
2023-12-01,6.18
2024-01-01,5.84
2024-02-01,6.36
2024-03-01,7.43
2024-04-01,7.04
2024-05-01,6.18
2024-06-01,4.95
2024-07-01,3.66
2024-08-01,3.39
2024-09-01,2.57
2024-10-01,2.35
2024-11-01,1.68
2024-12-01,1.90
2025-01-01,3.69
2025-02-01,2.25
2025-03-01,2.07
2025-04-01,2.17
2025-05-01,1.03
2025-06-01,1.99
2025-07-01,3.75
2025-08-01,3.99
2025-09-01,5.01
2025-10-01,4.99
