date,year,month,cpi_index
2024-01-01,2024,1,103.95
2024-02-01,2024,2,104.42
2024-03-01,2024,3,104.81
2024-04-01,2024,4,105.08
2024-05-01,2024,5,104.97
2024-06-01,2024,6,105.1
2024-07-01,2024,7,105.04
2024-08-01,2024,8,105.08
2024-09-01,2024,9,104.97
2024-10-01,2024,10,105.0
2024-11-01,2024,11,105.3
2024-12-01,2024,12,105.69
2025-01-01,2025,1,104.1
2025-02-01,2025,2,103.8
2025-03-01,2025,3,105.88
2025-04-01,2025,4,107.4
2025-05-01,2025,5,107.14
2025-06-01,2025,6,107.28
2025-07-01,2025,7,107.4
2025-08-01,2025,8,107.35
2025-09-01,2025,9,107.49
