date,year,month,inflation_yoy_pct,inflation_mom_pct,inflation_ytd_pct
2024-01-01,2024,1,-0.19,-0.19,1.83
2024-02-01,2024,2,0.45,0.26,2.12
2024-03-01,2024,3,0.37,0.63,2.18
2024-04-01,2024,4,0.26,0.89,2.11
2024-05-01,2024,5,-0.1,0.79,2.08
2024-06-01,2024,6,0.12,0.91,2.23
2024-07-01,2024,7,-0.06,0.85,1.97
2024-08-01,2024,8,0.04,0.89,1.98
2024-09-01,2024,9,-0.1,0.79,1.7
2024-10-01,2024,10,0.03,0.82,1.58
2024-11-01,2024,11,0.29,1.1,1.58
2024-12-01,2024,12,0.37,1.48,1.48
2025-01-01,2025,1,0.14,-1.5,-1.5
2025-02-01,2025,2,-0.59,-0.29,-1.79
2025-03-01,2025,3,1.02,2.0,0.18
2025-04-01,2025,4,2.21,1.44,1.62
2025-05-01,2025,5,2.07,-0.24,1.37
2025-06-01,2025,6,2.07,0.13,1.5
2025-07-01,2025,7,2.25,0.11,1.62
2025-08-01,2025,8,2.16,-0.05,1.57
2025-09-01,2025,9,2.4,0.13,1.7
