search_location,distribution,processing,production,retail,Total,Avg_Dist_Production_km
Jakarta Pusat,1994,0,1,4923,6918,9.61
Bandung,600,0,262,2769,3631,12.716106870229007
Depok,444,4,29,2342,2819,10.732068965517241
Bekasi,367,0,7,1064,1438,9.33
Bogor,367,0,28,1012,1407,4.8325000000000005
Cirebon,169,0,15,429,613,9.097333333333333
Sukabumi,27,0,1,306,334,12.27
Kab. Cirebon,27,0,10,44,81,3.9659999999999997
Kab. Tasikmalaya,18,0,22,16,56,11.691363636363635
Tasikmalaya,0,0,39,8,47,14.143076923076924
