location_name,min,max,count,days_span
Bandung,2020-11-30,2025-11-27,26640,1823
Bekasi,2020-11-30,2025-11-27,26629,1823
Bogor,2020-11-30,2025-11-28,26670,1824
Cirebon,2020-11-30,2025-11-28,26397,1824
DKI Jakarta,2020-11-30,2025-11-28,26586,1824
Depok,2020-11-30,2025-11-27,26649,1823
Jakarta Pusat,2020-11-30,2025-11-28,26586,1824
Jawa Barat,2020-11-30,2025-11-28,26712,1824
Kab. Cirebon,2020-11-30,2025-11-28,26376,1824
Kab. Tasikmalaya,2020-11-30,2025-11-27,26607,1823
Semua Provinsi,2020-11-30,2025-11-28,54322,1824
Sukabumi,2020-11-30,2025-11-27,26649,1823
Tasikmalaya,2020-11-30,2025-11-27,26607,1823
